aX,aY,aZ,gX,gY,gZ
-0.480,-0.132,-2.311,111.084,46.082,-53.772
-0.508,-0.109,-2.518,138.062,55.054,-59.631
-0.586,-0.083,-2.768,163.086,53.162,-63.232
-0.689,-0.027,-3.052,194.946,34.973,-65.796
-0.787,-0.012,-3.333,244.202,3.296,-72.937
-0.886,-0.139,-3.505,308.960,-33.997,-86.731
-1.009,-0.404,-3.502,384.094,-64.697,-107.605
-0.978,-0.892,-3.209,455.994,-78.186,-129.761
-0.788,-1.003,-2.715,492.187,-75.562,-155.701
-0.786,-0.750,-2.285,491.760,-75.623,-167.725
-0.758,-0.479,-2.027,465.027,-84.595,-155.273
-0.681,-0.289,-1.950,430.969,-92.346,-136.108
-0.687,-0.267,-1.992,409.180,-86.060,-121.704
-0.627,-0.308,-1.991,405.579,-63.843,-117.554
-0.484,-0.295,-1.879,431.396,-46.570,-133.301
-0.362,-0.408,-1.671,460.388,-32.654,-151.001
-0.285,-0.553,-1.414,484.192,-32.410,-165.100
-0.206,-0.631,-1.116,501.587,-46.875,-178.040
-0.165,-0.758,-0.814,501.648,-69.641,-190.186
-0.123,-0.945,-0.482,485.168,-97.412,-200.134
-0.070,-1.051,-0.117,452.759,-128.906,-204.956
-0.018,-1.054,0.204,408.813,-164.490,-208.313
-0.021,-0.992,0.380,363.892,-206.421,-211.914
-0.045,-0.907,0.454,321.167,-244.446,-212.463
-0.014,-0.913,0.433,292.542,-267.883,-208.984
0.037,-0.843,0.378,284.912,-271.240,-198.120
0.089,-0.740,0.347,286.377,-254.639,-176.758
0.109,-0.670,0.345,289.368,-220.032,-144.836
0.096,-0.608,0.378,295.715,-177.185,-107.056
0.056,-0.531,0.481,305.115,-136.108,-74.280
-0.035,-0.474,0.653,308.411,-106.812,-51.331
-0.073,-0.429,0.840,302.185,-91.919,-35.522
-0.103,-0.362,0.989,287.354,-86.975,-28.015
-0.166,-0.297,1.068,266.724,-86.975,-23.682
-0.216,-0.251,1.058,249.268,-86.975,-18.982
-0.231,-0.214,1.007,237.671,-79.712,-15.930
-0.212,-0.191,0.942,228.882,-60.974,-13.977
-0.178,-0.198,0.962,225.037,-39.612,-14.099
-0.164,-0.295,1.096,226.746,-25.757,-16.296
-0.129,-0.536,1.465,226.501,-22.766,-19.165
-0.042,-0.820,2.041,215.088,-25.635,-20.325
0.075,-1.021,2.681,181.091,-24.841,-19.592
0.272,-0.914,3.214,130.615,-17.395,-20.081
0.528,-0.546,3.423,84.290,-5.554,-26.611
0.652,-0.311,3.261,26.550,5.249,-31.189
0.690,-0.243,2.701,-41.992,12.146,-20.874
0.632,-0.143,1.870,-96.924,20.081,2.686
0.430,-0.005,0.994,-134.583,28.198,17.273
0.255,0.163,0.295,-149.658,26.855,20.813
0.240,0.402,-0.085,-133.911,12.573,17.273
0.253,0.615,-0.121,-98.206,-6.897,7.385
0.283,0.732,0.045,-63.049,-19.897,-2.319
0.315,0.782,0.252,-38.391,-21.606,-6.470
0.366,0.783,0.368,-27.344,-15.991,-5.981
0.400,0.707,0.428,-25.330,-8.972,-1.526
0.426,0.621,0.473,-23.193,-1.343,6.775
0.402,0.584,0.498,-18.433,4.456,16.113
0.344,0.544,0.532,-14.343,6.653,24.414
0.297,0.524,0.610,-7.080,7.080,29.358
0.253,0.505,0.730,2.869,6.897,26.672
0.254,0.506,0.843,11.169,10.437,16.968
0.308,0.505,0.906,11.963,14.954,5.188
0.397,0.480,0.911,4.761,14.832,-5.005
0.490,0.458,0.900,-3.601,9.094,-14.099
0.580,0.451,0.869,-10.864,1.465,-20.752
0.642,0.449,0.839,-16.724,-5.005,-24.414
0.658,0.443,0.787,-20.874,-11.780,-23.437
0.625,0.431,0.720,-23.071,-18.372,-18.555
0.567,0.434,0.666,-20.264,-22.888,-13.000
0.512,0.436,0.656,-13.245,-22.827,-8.362
0.462,0.413,0.694,-5.615,-19.165,-4.578
0.439,0.393,0.760,1.282,-12.878,-1.831
0.415,0.382,0.843,6.531,-6.958,0.305
0.394,0.382,0.901,6.165,-3.357,2.625
0.359,0.394,0.915,1.526,-2.502,5.127
0.317,0.407,0.898,-5.249,-2.930,6.226
0.282,0.432,0.852,-12.207,-4.517,5.432
0.262,0.445,0.806,-18.494,-7.751,3.357
0.255,0.438,0.781,-22.949,-10.010,-0.122
0.259,0.404,0.788,-25.208,-11.108,-2.808
0.252,0.346,0.841,-25.269,-11.230,-5.676
0.230,0.255,0.949,-24.353,-9.888,-8.118
0.232,0.160,1.092,-22.156,-5.249,-10.376
0.266,0.052,1.274,-21.423,0.793,-12.573
0.309,-0.045,1.454,-26.550,5.920,-12.329
0.342,-0.113,1.577,-38.391,9.094,-9.644
0.362,-0.157,1.623,-56.641,11.414,-4.944
0.354,-0.184,1.591,-78.308,14.893,1.465
0.336,-0.208,1.518,-99.731,20.447,10.620
0.295,-0.218,1.450,-117.615,28.931,20.386
0.223,-0.252,1.412,-129.944,40.283,30.945
0.134,-0.290,1.442,-138.062,51.270,40.161
0.071,-0.296,1.514,-142.517,61.218,45.776
0.037,-0.317,1.575,-148.682,69.824,44.800
0.022,-0.350,1.579,-160.095,77.759,40.771
0.034,-0.372,1.517,-176.575,85.754,38.330
0.034,-0.384,1.394,-195.557,94.727,38.330
0.041,-0.402,1.247,-214.722,106.567,41.138
0.114,-0.437,1.166,-234.680,119.568,46.692
0.148,-0.427,1.081,-256.897,127.930,56.091
0.125,-0.427,0.939,-284.851,129.578,69.702
0.084,-0.468,0.749,-313.965,129.456,83.069
0.036,-0.463,0.581,-334.839,132.568,92.102
0.003,-0.462,0.423,-351.074,139.709,100.525
-0.029,-0.492,0.267,-368.591,146.057,110.352
-0.057,-0.530,0.108,-387.390,150.330,118.774
-0.087,-0.561,-0.068,-406.067,153.870,124.268
-0.133,-0.595,-0.242,-425.964,158.752,130.554
-0.198,-0.631,-0.454,-447.754,164.795,138.306
-0.312,-0.698,-0.718,-463.501,166.382,149.170
-0.391,-0.724,-0.995,-459.778,159.119,162.109
-0.433,-0.705,-1.143,-442.200,145.874,168.945
-0.462,-0.736,-1.258,-423.401,134.521,164.124
-0.496,-0.736,-1.370,-403.015,128.174,151.550
-0.556,-0.749,-1.523,-390.442,128.052,140.259
-0.579,-0.760,-1.667,-387.451,131.104,139.221
-0.619,-0.761,-1.803,-390.564,134.705,144.470
-0.702,-0.767,-1.940,-395.569,136.719,152.954
-0.786,-0.752,-2.049,-404.846,137.695,163.025

-0.910,-0.462,-2.779,-425.781,119.629,176.697
-0.901,-0.203,-3.234,-406.555,76.965,174.622
-0.834,0.029,-3.441,-342.041,23.437,153.687
-0.792,0.195,-3.363,-251.099,-20.203,111.206
-0.746,0.186,-3.013,-168.640,-48.157,60.791
-0.613,0.136,-2.629,-106.445,-57.251,26.062
-0.485,0.115,-2.229,-69.641,-52.734,11.536
-0.393,0.146,-1.957,-59.814,-45.166,12.573
-0.394,0.239,-1.818,-65.002,-43.396,29.114
-0.467,0.343,-1.784,-74.463,-41.199,48.279
-0.500,0.447,-1.819,-77.271,-30.884,56.213
-0.458,0.522,-1.850,-67.993,-14.099,46.570
-0.338,0.534,-1.888,-51.575,3.967,24.231
-0.211,0.492,-1.885,-31.250,15.564,1.038
