aX,aY,aZ,gX,gY,gZ
0.710,0.884,1.146,95.947,-61.462,-92.224
0.780,1.042,1.252,97.778,-69.763,-88.135
0.887,1.294,1.398,104.553,-64.331,-81.482
0.983,1.626,1.515,126.099,-45.959,-70.374
0.945,1.775,1.528,155.273,-17.090,-52.307
0.695,1.760,1.411,172.913,13.855,-32.288
0.354,1.927,1.248,190.552,38.086,-9.949
-0.103,1.825,1.092,195.557,55.298,-10.986
-0.565,1.845,0.824,195.496,60.974,-26.367
-1.120,1.698,0.562,185.059,47.913,-56.885
-1.671,1.331,0.189,171.387,21.851,-89.600
-2.352,0.627,-0.460,161.438,-5.920,-97.717
-3.170,-0.448,-1.304,143.311,-5.737,-76.294
-3.879,-1.818,-2.147,123.474,49.561,-46.021
-4.000,-3.510,-3.339,90.027,148.987,-53.406
-4.000,-4.000,-1.776,-3.052,273.193,-111.572
-3.103,-4.000,-4.000,16.174,394.592,-277.283
-0.630,-4.000,-2.418,7.874,287.109,-598.694
2.531,-4.000,0.230,76.843,-60.486,-753.235
4.000,-4.000,1.024,330.017,-335.999,-637.756
4.000,-4.000,0.989,295.776,-323.181,-427.307
4.000,-3.973,-0.532,114.624,-59.448,-100.159
2.655,-3.485,-1.616,-40.100,176.208,323.364
-1.739,-2.446,-1.475,-26.917,155.823,710.999
-4.000,-1.536,0.128,87.646,49.866,813.354
-4.000,-0.371,1.886,253.723,-11.108,592.285
-4.000,0.596,3.156,364.075,-64.819,300.110
-3.985,0.776,3.423,273.437,-103.149,89.478
-2.747,0.703,2.098,15.869,-60.608,-23.560
-1.689,0.429,0.526,-176.147,11.841,-108.032
-0.738,-0.274,-0.120,-168.762,33.020,-176.697
-0.261,-0.965,-0.039,-83.252,5.981,-192.871
-0.139,-1.241,0.299,-28.259,-27.527,-158.691
-0.099,-1.289,0.523,-12.878,-29.114,-111.511
-0.095,-1.229,0.435,-27.527,-5.615,-76.050
-0.076,-1.215,0.307,-39.856,11.475,-46.753
0.003,-1.124,0.166,-35.706,17.456,-14.648
0.038,-1.010,0.072,-26.794,19.470,8.850
0.026,-0.990,0.030,-16.479,20.142,20.569
0.005,-1.036,0.070,-4.456,18.127,26.245
-0.031,-1.091,0.160,4.272,11.902,28.625
-0.071,-1.136,0.231,1.648,3.113,30.396
-0.128,-1.209,0.242,-12.573,-6.287,31.799
-0.169,-1.291,0.207,-31.433,-16.968,32.776
-0.150,-1.362,0.154,-47.302,-27.893,33.325
-0.105,-1.467,0.109,-57.251,-36.499,36.194
-0.066,-1.582,0.062,-61.462,-40.222,44.800
-0.054,-1.659,0.026,-59.814,-39.856,59.265
-0.099,-1.688,0.017,-55.786,-35.278,77.332
-0.179,-1.710,-0.022,-55.969,-28.564,94.971
-0.185,-1.751,-0.125,-60.547,-22.644,109.619
-0.181,-1.783,-0.240,-66.711,-20.142,119.995
-0.167,-1.804,-0.325,-71.777,-21.973,127.686
-0.164,-1.839,-0.395,-79.529,-27.649,134.583
-0.198,-1.885,-0.455,-90.393,-35.950,141.296
-0.249,-1.952,-0.468,-98.206,-43.884,142.578
-0.272,-1.999,-0.337,-96.802,-44.373,136.597
-0.324,-1.957,-0.254,-93.750,-34.119,130.493
-0.311,-1.955,-0.195,-86.365,-26.855,127.869
-0.234,-1.877,-0.095,-73.975,-35.339,131.897
-0.109,-1.773,0.057,-73.059,-54.993,137.085
0.069,-1.807,0.207,-85.327,-74.280,142.883
0.093,-1.757,0.312,-114.441,-84.229,155.029
-0.024,-1.551,0.318,-138.977,-83.496,163.757
-0.169,-1.296,0.492,-143.005,-78.064,155.029
-0.194,-1.152,0.668,-142.456,-64.270,129.456
-0.134,-0.613,0.400,-146.606,-48.645,100.037
0.069,-0.205,0.443,-166.687,-36.926,129.822
0.270,-0.319,0.089,-151.794,4.883,113.892
0.493,-0.241,-0.004,-114.319,43.335,90.515
0.740,0.016,-0.029,-39.917,52.490,79.407
0.808,0.217,0.060,4.150,33.813,71.289
0.645,0.375,0.284,17.090,-12.085,63.782
0.399,0.496,0.650,7.385,-69.824,51.453
0.041,0.589,1.119,-9.033,-114.868,34.851
-0.305,0.796,1.630,-16.785,-130.920,27.527
-0.469,1.113,2.068,-16.663,-111.572,33.447
-0.612,1.517,2.343,-7.690,-53.406,55.664
-0.938,1.929,2.560,11.230,20.081,99.426
-1.426,2.125,2.721,31.738,81.299,148.743
-1.973,2.190,2.696,24.048,108.521,169.373
